ID;name;host_id;host_identity_verified;host_name;neighborhood_group;neighborhood;lat;long;country;instant_bookable;cancellation_policy;room_type;construction_year;price;service_fee;minimum_nights;number_of_reviews;last_review;reviews_per_month;review_rate;host_listings_count;days_available;house_rules
1001254;"Clean & quiet apt home by the park";80014485718;Unconfirmed;Madaline;Brooklyn;Kensington;40.64749;-73.97237;"United States";False;Strict;"Private room";2020;"966 ";"193 ";10;9;2021-10-19;0.2195;4;6;286;"Clean up and treat the home the way you'd like your home to be treated.  No smoking."
1002102;"Skylit midtown castle";52335172823;Verified;Jenna;Manhattan;Midtown;40.75362;-73.98377;"United States";False;Moderate;"Entire home/apt";2007;"142 ";"28 ";30;45;2022-05-21;1.3235;4;2;228;"Pet friendly but please confirm with me if the pet you are planning on bringing with you is OK. I have a cute and quiet mixed chihuahua. I could accept more guests (for an extra fee) but this also needs to be confirmed beforehand. Also friends traveling together could sleep in separate beds for an extra fee (the second bed is either a sofa bed or inflatable bed). Smoking is only allowed on the porch."
1002403;"The village of harlem....new york !";78829239556;NULL;Elise;Manhattan;Harlem;40.80902;-73.94190;"United States";True;Flexible;"Private room";2005;"620 ";"124 ";3;0;NULL;NULL;5;1;352;"I encourage you to use my kitchen, cooking and laundry facilities. There is no additional charge to use the washer/dryer in the basement.  No smoking, inside or outside. Come home as late as you want.  If you come home stumbling drunk, it's OK the first time. If you do it again, and you wake up me or the neighbors downstairs, we will be annoyed.  (Just so you know . . . )"
1002755;NULL;85098326012;Unconfirmed;Garry;Brooklyn;"Clinton Hill";40.68514;-73.95976;"United States";True;Moderate;"Entire home/apt";2005;"368 ";"74 ";30;270;2019-07-05;3.9130;4;1;322;NULL
1003689;"Entire apt: spacious studio/loft by central park";92037596077;Verified;Lyndon;Manhattan;"East Harlem";40.79851;-73.94399;"United States";False;Moderate;"Entire home/apt";2009;"204 ";"41 ";10;9;2018-11-19;0.1184;3;1;289;"Please no smoking in the house, porch or on the property (you can go to the nearby corner).  Reasonable quiet after 10:30 pm.  Please remove shoes in the house."
1004098;"Large cozy 1 br apartment in midtown east";45498551794;Verified;Michelle;Manhattan;"Murray Hill";40.74767;-73.97500;"United States";True;Flexible;"Entire home/apt";2013;"577 ";"115 ";3;74;2019-06-22;1.0725;3;1;374;"No smoking, please, and no drugs."
1004650;Blissartsspace!;61300605564;NULL;Alberta;Brooklyn;Bedford-Stuyvesant;40.68688;-73.95596;"United States";False;Moderate;"Private room";2015;"71 ";"14 ";45;49;2017-10-05;0.5444;5;1;224;"Please no shoes in the house so bring slippers or extra socks to keep your feet warm- especially in winter! No smoking either inside or outside. Please be considerate of neighbors from 10pm-7am in terms of noise. Please take out any trash and leave in the large blue garbage bin at the end of the driveway when you leave."
1005202;Blissartsspace!;90821839709;Unconfirmed;Emma;Brooklyn;Bedford-Stuyvesant;40.68688;-73.95596;"United States";False;Moderate;"Private room";2009;"1,060 ";"212 ";45;49;2017-10-05;0.5444;5;1;219;"House Guidelines for our BnB We are delighted to welcome you.  Check in Sun â€“ Thurs by 8PM and Fri, Sat by 9pm. Please bear in mind that this is not a hotel but our home and we are opening it to you.  We will do our utmost to make your stay enjoyable and fun.  We ask that you take care to respect our home and its appearance.  Thank you.  Marilyn and Alan 1.ROOMS - The bedroom is yours for the duration of your stay.  Be sure to let us know if you need something.  Please keep it neat and tidy and take advantage of the closet and bureau for your belongings.  We do ask that you turn off lights, air conditioner, fan, etc. when you are not in the room. Thank you. 2.LIGHTS â€“ Please, too, remember to turn off lights on the stairway when returning.   3.KEYS - 2 house keys are provided - Replacement cost is $15 each 4.PARKING â€“ Parking is available on street at all times.   5.SHOES â€“ When the weather is inclement please remove shoes.   6.TOILETRIES - If you need them we can provide basic toiletr"
1005754;"Large furnished room near b'way";79384379533;Verified;Evelyn;Manhattan;"Hell's Kitchen";40.76489;-73.98493;"United States";True;Strict;"Private room";2005;"1,018 ";"204 ";2;430;2019-06-24;6.2319;3;1;180;"- Please clean up after yourself when using the kitchen. - When using the bathroom, please be careful to minimize the amount of water on the floor when showering and using the sink. - Please make sure to remove any strands of hair from the sink and floors with a tissue or paper towel. - Be respectful of the noise levels after 11pm.  - Please be quiet coming in late or leaving early. - No Smoking  - No Pets - No overnight guests - For safety reasons, please make sure to shut and lock the windows and front door when you leave. *** Note: cancellations are subject to fees that are non refundable ***"
1006307;"Cozy clean guest room - family apt";75527839483;Unconfirmed;Carl;Manhattan;"Upper West Side";40.80178;-73.96723;"United States";False;Strict;"Private room";2015;"291 ";"58 ";2;118;2017-07-21;1.2826;5;1;375;"NO SMOKING OR PETS ANYWHERE ON THE PROPERTY 1. Be respectful of the other tenants 2. If you use the grill, be sure to turn off the gas 3. Notify the owner of any discrepancies or things not functioning properly immediately 4. Please treat carpet stains promptly (or notify the owner) 5. Kindly turn off lights, air conditioners, and other electrical items when they aren't needed"
1006859;"Cute & cozy lower east side 1 bdrm";1280143094;Verified;Miranda;Manhattan;Chinatown;40.71344;-73.99037;"United States";False;Flexible;"Entire home/apt";2004;"319 ";"64 ";1;160;2019-06-09;2.2857;3;4;1;NULL
1007411;"Beautiful 1br on upper west side";18824631834;Verified;Alan;Manhattan;"Upper West Side";40.80316;-73.96545;"United States";True;Flexible;"Entire home/apt";2008;"606 ";"121 ";5;53;2019-06-22;0.7681;4;1;163;"My ideal guests would be warm, friendly, and respectful of sharing my home and it's rhythms. I am allergic to cigarettes, so no smoking please, not even in the yard. A quiet homecoming is much appreciated at the end of the evening's nightlife."
1007964;"Central manhattan/near broadway";88136055909;Verified;NULL;Manhattan;"Hell's Kitchen";40.76076;-73.98867;"United States";False;Strict;"Private room";2008;"714 ";"143 ";2;188;2019-06-23;2.7246;4;1;258;"- One of the bedroom closets is not accessible to guests - Please be mindful of the neighbors, quiet time after 10PM  - Check-out time is at 11AM on the day of your departure.  - If you're going to smoke outside, please clean up after yourself and do not throw cigarette butts on the ground - The refrigerator and cabinets are available for your use but please do not take food items unless explicitly permitted"
1008516;"Lovely room 1, garden, best area, legal rental";26802410424;Verified;Darcy;Brookln;"South Slope";40.66829;-73.98779;"United States";True;Moderate;"Private room";2010;"580 ";"116 ";4;167;2019-06-24;2.4203;4;3;47;NULL
1009068;"Wonderful guest bedroom in manhattan for singles";88920244552;Verified;Leonardo;Manhattan;"Upper West Side";40.79826;-73.96113;"United States";False;Flexible;"Private room";2019;"149 ";"30 ";2;113;2019-07-05;1.6377;3;1;68;NULL
1009621;"West village nest - superhost";46551725984;Verified;Daniel;Manhattan;"West Village";40.73530;-74.00525;"United States";True;Flexible;"Entire home/apt";2018;"578 ";NULL;90;27;2018-10-31;0.3506;3;1;100;"Arrival time can be no later than 9:00PM unless pre-arranged. No visitors allowed at anytime without prior approval. Overnight guests are not allowed at all. There is no room for guests. Don't ask. No smoking. 11:00 PM is quiet time while watching private room tv is acceptable. No eating meals in the room. It's too small, you'll see what I'm saying, and there's a nice dining table for that. Small snacks are fine. If you cook and/or uses dishes and utensils then please clean them so someone else can use them. Do not leave anything uncleaned in the sink overnight. Shared areas of the home are expected to be maintained after you use them. There are no room services provided other than normal cleaning. Closet and dresser space is provided for your clothes."
1010173;"Only 2 stops to manhattan studio";62566345680;Unconfirmed;Heather;Brooklyn;Williamsburg;40.70837;-73.95352;"United States";NULL;Moderate;"Entire home/apt";2009;"778 ";NULL;2;148;2019-06-29;2.1449;3;1;197;"Absolutely no smoking in the building, handling of art work or damaging personal property. All additional charges for movie rental are the responsibility of the renter. Shower before entering the hot tub. No glass or food in the hot tub. Turn off all lights and appliances when leaving the unit."
1010725;"Perfect for your parents + garden";80380130347;Verified;Ryan;Brooklyn;"Fort Greene";40.69169;-73.97185;"United States";NULL;Flexible;"Entire home/apt";2006;"656 ";NULL;2;198;2019-06-28;2.8696;5;1;96;"- Please be mindful of the neighbors, quiet time after 10PM  - Check-out time is at 11AM on the day of your departure.  - If you're going to smoke outside, please clean up after yourself and do not throw cigarette butts on the ground - The refrigerator and cabinets are available for your use but please do not take food items unless explicitly permitted"
1011277;"Chelsea perfect";73862528370;Verified;Alberta;Manhatan;Chelsea;40.74192;-73.99501;"United States";NULL;Moderate;"Private room";2008;"460 ";NULL;1;260;2019-07-01;3.7681;3;1;325;NULL
1011830;"Hip historic brownstone apartment with backyard";72145018858;NULL;Martin;Brooklyn;"Crown Heights";40.67592;-73.94694;"United States";NULL;Moderate;"Entire home/apt";2004;"1,095 ";NULL;3;53;2019-06-22;0.7681;5;1;345;"LAUNDRY - Laundry can be done by the visitor before 10 pm, preferably on weekends. - Please provide your own detergent and fabric conditioner. Keep the machine clean and remember to clean the filter before and after use. - Please ask hosts to teach you how to operate the machines if you are not familiar with it. - Please limit your load and washes as not to overload the machine. - One wash per week will be ideal. HOUSEKEEPING - The bedrooms shall be kept clean and tidy by the visitor. - Please be respectful of others and keep the bathroom clean â€“ do not leave dirty clothes and trash lying around. - Each visitor is responsible for cleaning their own dirty dishes and throwing their own trash in the garbage bin outside. - Please provide your own toiletries such as bath soap, shampoo and toothpaste.  KITCHEN USE  - We are sharing our kitchen and kitchenware stuff. Please make sure to take care of them and make sure you clean, dry and put them back where you found them. If you are cooking, "
1012382;"Huge 2 br upper east  cental park";79805143117;Verified;Audrey;Manhattan;"East Harlem";40.79685;-73.94872;"United States";NULL;Moderate;"Entire home/apt";2013;"281 ";"56 ";7;0;NULL;NULL;3;2;347;"No smoking, No pets.  No shoes in the house. Visitors are permitted in the common area only. Please use the dining room to enjoy your meals. Also  refrain using an electronic device while having your meal. Quiet time between 10:00pm-6:00am."
1012934;"Sweet and spacious brooklyn loft";86554611512;Verified;Alissa;Brooklyn;Williamsburg;40.71842;-73.95718;"United States";NULL;Flexible;"Entire home/apt";2016;"477 ";"95 ";3;9;2021-12-28;0.2308;3;1;193;"- No smoking or open flames on the property - Please respect the peace and privacy of our neighbors  - Access Roslindale Urban Wild from street - do not jump backyard fence - Max of 3 occupants, please!"
1013487;"Cbg ctybgd helpshaiti rm#1:1-4";53754237010;Verified;Mary;Brooklyn;"Park Slope";40.68069;-73.97706;"United States";NULL;Moderate;"Private room";2013;"133 ";"27 ";2;130;2019-07-01;1.8841;4;6;54;"Arrival time can be no later than 10:00PM. No visitors allowed at anytime without prior approval. Overnight guests are only allowed as part of the reservation. Never more than 2 people in this room.  No smoking. 11:00 PM is quiet time while watching private room tv is acceptable. No eating meals in the room. It's too small, you'll see what I'm saying, and there's a nice dining table for that. Small snacks are fine. If you cook and/or uses dishes and utensils then please clean them so someone else can use them. Do not leave anything uncleaned in the sink overnight. Shared areas of the home are expected to be maintained after you use them. There are no room services provided other than normal cleaning. Closet and dresser space is provided for your clothes."
1014039;"Cbg helps haiti room#2.5";87668933180;NULL;William;Brooklyn;"Park Slope";40.67989;-73.97798;"United States";NULL;Moderate;"Private room";2017;"1,050 ";"210 ";1;39;2019-01-01;0.5200;3;6;9;NULL
1014591;"Cbg helps haiti rm #2";57827496420;Unconfirmed;Charlotte;Brooklyn;"Park Slope";40.68001;-73.97865;"United States";NULL;Strict;"Private room";2005;"816 ";"163 ";2;71;2019-07-02;1.0290;4;6;344;"We take great care of our home and expect you to do the same.  Smoking is not permitted anywhere on the property."
1015144;"Maison des sirenes1,bohemian apartment";48387947293;NULL;Miranda;Brooklyn;Bedford-Stuyvesant;40.68371;-73.94028;"United States";NULL;Strict;"Entire home/apt";2006;"1,175 ";"235 ";2;88;2019-06-19;1.2754;4;2;372;NULL
1015696;"Sunny bedroom across prospect park";81686279636;NULL;Carlos;Brooklyn;"Windsor Terrace";40.65599;-73.97519;"United States";NULL;Moderate;"Private room";2021;"530 ";"106 ";1;19;2019-06-23;0.2754;5;2;344;"Quiet neighborhood, middle apartment of big house, quiet after 11:00. No smoking or candles in apartment.  Clean kitchen after use."
1022323;"Cute apt in artist's home";88653822946;Verified;Joyce;Brooklyn;Bushwick;40.70186;-73.92745;"United States";True;Moderate;"Entire home/apt";2005;"1,097 ";"219 ";2;231;2019-06-22;3.3478;3;2;214;"Please no shoes inside the house and no  smoking (cigarettes or anything else) either in or outside. Please be respectful of neighbors in the evening and early morning (10pm-7am). When you leave at the end of your stay, please take your trash outside to the large garbage bin at the end of the driveway."
1022876;"Country space in the city";49725315867;Verified;Deanna;Brooklyn;Flatbush;40.63702;-73.96327;"United States";True;Strict;"Private room";2011;"1,020 ";"204 ";1;0;NULL;NULL;3;1;356;"House Guidelines for our BnB We are delighted to welcome you.  Check in Sun â€“ Thurs by 8PM and Fri, Sat by 9pm. Please bear in mind that this is not a hotel but our home and we are opening it to you.  We will do our utmost to make your stay enjoyable and fun.  We ask that you take care to respect our home and its appearance.  Thank you.  Marilyn and Alan 1.ROOMS - The bedroom is yours for the duration of your stay.  Be sure to let us know if you need something.  Please keep it neat and tidy and take advantage of the closet and bureau for your belongings.  We do ask that you turn off lights, air conditioner, fan, etc. when you are not in the room. Thank you. 2.LIGHTS â€“ Please, too, remember to turn off lights on the stairway when returning.   3.KEYS - 2 house keys are provided - Replacement cost is $15 each 4.PARKING â€“ Parking is available on street at all times.   (website hidden) â€“ When the weather is inclement please remove shoes.   6.TOILETRIES - If you need them we can provide basi"
1023428;"Lowereastside apt share shortterm 1";31736204344;NULL;Clark;Manhattan;"Lower East Side";40.71401;-73.98917;"United States";True;Moderate;"Shared room";2012;"1,010 ";"202 ";1;214;2019-07-05;3.1014;5;4;110;"Not smoking, drugs, or alcoholics allow. Guest most inform the purpose of their trip and provide ID or passport upon arrival. Only 1 gust allow unless the guest consult the host first for any other type of arrangements."
1023980;"Enjoy downtown nyc!";63131487263;Unconfirmed;Byron;Manhattan;"East Village";40.72290;-73.98199;"United States";False;Strict;"Private room";2005;"563 ";"113 ";2;245;2019-06-21;3.5507;3;2;354;NULL
1024533;"Beautiful sunny park slope brooklyn";50357575975;Verified;Alina;Brooklyn;"South Slope";40.66278;-73.97966;"United States";True;Flexible;"Entire home/apt";2020;"370 ";"74 ";3;15;2019-05-27;0.2143;2;1;33;"No smoking inside. Since I have a dog, there are no other pets allowed."
1025085;"1bdr w private bath. in lofty apt";45597582469;NULL;Charlie;Brooklyn;"Fort Greene";40.69673;-73.97584;"United States";False;Strict;"Private room";2008;"687 ";"137 ";7;25;2018-09-30;0.3205;1;1;405;"No smoking, No pets. No shoes in the house. Visitors are permitted in the common area only. Please use the dining room to enjoy your meals. Also please refrain using an electronic device while having your meal. Quiet time between 10:00pm-6:00am."
1025637;"West side retreat";55430108992;Unconfirmed;Alford;Manhattan;"Upper West Side";40.79009;-73.97927;"United States";False;Strict;"Private room";2017;"856 ";"171 ";4;81;2019-06-16;1.1739;3;1;86;"Free WiFi! * No smoking anywhere on property. *No out-door shoes to be worn in the house. We ask that guests be willing to be considerate and quiet while coming and going from 10 pm to 6 am, please. This is a non-smoking property. There is no smoking anywhere on the property, inside nor on the porch. We also ask guests to bring inside shoes/slippers. Thank you. As this is our home, we request you not to move the furniture nor our belongings around and to treat our home as you would wish your home to be treated. Thank you."
1059880;"Beautiful duplex apartment";74182934364;Verified;Lilianna;Brooklyn;"Park Slope";40.66941;-73.98109;"United States";NULL;Moderate;"Entire home/apt";2008;"243 ";"49 ";30;88;2018-11-02;1.1429;2;1;267;NULL
1060432;"Large 2 bedroom great for groups!";94662871331;Unconfirmed;Tess;Brooklyn;Bedford-Stuyvesant;40.68373;-73.92377;"United States";NULL;Flexible;"Entire home/apt";2016;"500 ";"100 ";90;162;2019-06-28;2.3478;3;2;189;"- Thanks for not smoking and leaving your pets at home! Thanks for keeping the house locked. Thanks for not throwing big parties, small dinner parties or bbq is fine. And... all of the usual stuff that is just good common sense like returning the apartment to the way it looked when you arrived.  At the end of your stay, please strip the beds and put the sheets on the floor next to stairs. Towels can be put with the sheets. Trash and recycling pick up is on Thursday mornings. If you are staying through a Thursday, please put your garbage and recycling outside in the appropriate barrels Wednesday night or by 7:00 am on Thursdays. THANKS!"
1060984;"Modern brooklyn apt., august sublet";38981444696;Unconfirmed;Ned;Brooklyn;Williamsburg;40.71459;-73.94844;"United States";False;Strict;"Entire home/apt";2017;"589 ";"118 ";30;29;2018-05-26;0.3537;1;1;83;"This is a pretty quiet house in a residential neighborhood, so please be respectful of noise. No overnight guests without prior arrangements being made."
1061537;"1,800 sq foot in luxury building";18044628997;Unconfirmed;Emma;Manhattan;Harlem;40.80920;-73.94421;"United States";True;Flexible;"Private room";2005;"839 ";"168 ";2;170;2019-06-23;2.4638;1;1;258;"No smoking, drugs, loud volume, loud partying please. No outdoor shoes inside the house please, indoor slippers are provided. I don't charge cleaning fee so please help me keep the place clean and organized by cleaning up after yourself, thank you."
1062089;"Sunny 2-story brooklyn townhouse w deck and garden";85201462079;Verified;Alen;Brooklyn;Gowanus;40.68157;-73.98989;"United States";False;Strict;"Entire home/apt";2011;"528 ";"106 ";30;19;2017-03-17;0.1979;2;1;400;"We ask that guest DO NOT host any additional guest. NO partying or loud music.  Please DO NOT interact with other tenants on property.  There is ABSOLUTELY NO smoking allowed on the property. NO pets allowed. "
1062641;"Times square, safe, clean and cozy!";61210263217;Unconfirmed;Kevin;Manhattan;"Hell's Kitchen";40.75527;-73.99291;"United States";True;Strict;"Private room";2014;"66 ";"13 ";2;334;2019-06-16;4.8406;1;2;34;"You will be very comfortable in our home but we ask that guests are respectful of the artwork that we have as we want to keep the place a fun place to hang out!  Please no smoking."
1063194;"Cozy room #3, landmark home 1 block to pratt";85719117699;Unconfirmed;Miller;Brooklyn;"Clinton Hill";40.68698;-73.96572;"United States";True;Flexible;"Private room";2014;"761 ";"152 ";2;19;2019-06-02;0.2714;4;6;203;"No smoking in the apartment, even with the windows open. No excessive cologne/perfume. Please take off your shoes on the landing and don't wear any outdoor shoes inside. No food in the bedrooms, please. No food or drinks in the music room. Be considerate of the neighbors; no excessive noise, and keep quiet after 9pm. Please tell me if anything gets broken in the apartment. Talk to me first if you want to hold Yggy. Don't open the terrarium before we talk. No overnight guests without clearing with me first."
1063746;"Beautiful apartment east village";95420528585;Verified;Penelope;Manhattan;"East Village";40.72880;-73.98192;"United States";True;Flexible;"Entire home/apt";2007;"523 ";"105 ";7;12;NULL;NULL;5;1;35;"Guests are expected to be respectful, kind, neat, and reasonably quiet. Loud noise and heavy footsteps do travel from the second floor to the downstairs neighbors, so please be nice and don't stomp or yell.   No open flames and absolutely no smoking. Be respectful of what is in the house. Do not invite over others who are not in the plan. Thank you! "
1064298;"Park slope green guest house";56820832918;NULL;Rosie;Brooklyn;"South Slope";40.66853;-73.98912;"United States";True;Strict;"Entire home/apt";2004;"631 ";"126 ";30;467;2018-12-30;6.2267;3;2;280;NULL
1073135;"Accommodations galore #1";90525781448;Unconfirmed;Daniel;Manhattan;Harlem;40.81618;-73.94894;"United States";True;Flexible;"Entire home/apt";2005;"449 ";"90 ";3;155;2019-06-20;2.2464;3;3;410;"Tenant Agreement: House Rules: The landlord reserves the right to inspect the unit to enforce the terms of this agreement at any time. No smoking. No parties. No pets. Reduced noise after 11pm. No sublet. No more than eight people to reside on premises unless given written approval.  No refunds to be given for shortened stays.  No refunds to be given for any cable or internet WI-FI outages.  You are responsible for safe keeping of your own valuables. The landlord is not responsible for lost items."
1073687;"Sunny room in new condo";35058485479;Verified;Victoria;Brooklyn;"Clinton Hill";40.68414;-73.96351;"United States";False;Moderate;"Private room";2018;"930 ";"186 ";3;260;2019-07-03;3.7681;4;1;388;"Please leave your shoes in the entranceway.  I will leave the house sparkly clean for you and hope that youll do the same for me. ;) If you are a smoker you are welcome to use either the back porch or roofdeck.  There is an ashtray on the back porch.  Please be considerate of neighbors with outdoor noise levels. Congrats! You get to be surrogate parents to the other residents of 9 mark st, Turtle and Froggy, my cats.  Ill leave plenty of food for them but you are responsible for feeding them.... and they will thank you with lots of purring and snuggly lap time."
1074240;"Stylish & sleek apartment near soho!";24559680874;Verified;Brooke;Manhattan;"East Village";40.72392;-73.99143;"United States";False;Strict;"Entire home/apt";2006;"329 ";"66 ";5;73;2019-06-25;1.0580;4;1;13;"There are two other units in the same building and we respect each other with noise.  Guests are asked not to have loud music or any parties. We don't charge a cleaning fee so please leave the house in good shape when you leave.  Please load the dishwasher and run it prior to departing. Thank you!"
1074792;"Nyc artistsâ€™ loft with roof deck";48867545848;Verified;Lilianna;Brooklyn;Greenpoint;40.73494;-73.95030;"United States";False;Flexible;"Private room";2006;"1,125 ";"225 ";3;193;2019-05-20;2.7571;2;1;62;NULL
1075344;"Unique & charming small 1br apt. les";77518406270;Unconfirmed;NULL;Manhattan;"Lower East Side";40.71341;-73.98856;"United States";False;Moderate;"Entire home/apt";2013;"1,099 ";"220 ";3;32;2019-06-14;0.4638;5;1;62;NULL
1075897;"Most central location!";53246473793;Unconfirmed;NULL;Manhattan;"Hell's Kitchen";40.76754;-73.98399;"United States";False;Strict;"Private room";2013;"256 ";"51 ";2;50;2019-05-26;0.7143;2;3;366;"Please be respectful of my things! I have a lot of stuff that I have collected over the years. Absolutely NO smoking.  This is a really relaxing space and the neighbors are all really cool.  -Pets are allowed -If you cook, please clean after yourself and make proper use of the garbage disposal."
1076449;NULL;80835835733;Unconfirmed;NULL;Manhattan;"West Village";40.73442;-74.00303;"United States";False;Strict;"Entire home/apt";2013;"263 ";"53 ";29;26;2019-07-01;0.3768;5;1;338;"Please reserve for yourself rather than for someone else. Air B&B has this as a basic requirement so the host than look at reviews of the guest, not of the person making the reservation. You can smoke on the back porch.  Well-behaved, non-barky, friendly dogs are welcome to sleep on the floor or in their own dogbed."
1077001;"Sanctuary in east flatbush";41763838164;Unconfirmed;Anna;Brooklyn;Flatlands;40.63188;-73.93248;"United States";True;Moderate;"Private room";2020;"96 ";"19 ";2;2;2019-01-01;0.0267;4;1;334;"Please clean after yourself, wipe spilled water after using the bathroom, do not smoke in the apartment and treat the place as you would treat your home! Please let us know about pets or service animals in advance."
1082524;"Retreat in williamsburg";22731046418;Verified;Abraham;Brooklyn;Williamsburg;40.71492;-73.95935;"United States";True;Strict;"Entire home/apt";2007;NULL;"64 ";4;240;2019-06-17;3.4783;3;1;337;"Leave shoes by door No strong scents (perfumes, hair sprays, etc.) No events, drunkenness, or loud music No noise in the stairway"
1083076;"Nyc zen";83696952551;Verified;Amelia;Manhattan;"East Village";40.72354;-73.98295;"United States";False;Strict;"Entire home/apt";2003;NULL;"119 ";3;30;2019-06-17;0.4348;5;1;344;"No Smoking No Pets No Parties"
1083629;"Cozy br in wiliamsburg 3 bedroom";26995415534;Verified;Bruce;Brooklyn;Williamsburg;40.71165;-73.96087;"United States";False;Moderate;"Private room";2003;"1,133 ";"227 ";3;200;2019-06-22;2.8986;5;4;166;"You must disclose at what time you are planning to arrive when booking.  If it's too late at night, we may not be able to accommodate you.  If you don't disclose the information, your reservation will be canceled immediately.  International guests:  Please make sure your visa/work permits are in order.  We cannot refund your money if you are unable to come because your paperwork was not in order.  If you are booking far in advance because of work/study issues, please be aware that if things change because of whatever circumstance we are not able to give you a full refund.  Please understand that we have kept your place for months foregoing other bookings.  The policy is that if you let us know a week in advance, you will receive 50% of what you have paid.  Also, the money that you pay upfront to secure the place is kept by airbnb which handles all money transactions.  No smoking indoors, only on the deck.  No pets.  Come and go as you please.  No loud music please.  Own housekeeping du"
1084181;"Sunny room in old historical brooklyn townhouse";7020663711;Unconfirmed;Jessica;Brooklyn;"Fort Greene";40.69101;-73.97312;"United States";True;Strict;"Private room";2014;"162 ";"32 ";8;27;2019-06-29;0.3913;4;5;18;"I'm a semi kosher vegetarian which means that I don't bring any pork or shelled fish into the house.  Chicken/Red meat is fine."
1084733;"Sun filled classic west village apt";45352858672;Verified;Valeria;Manhattan;"West Village";40.73474;-74.00101;"United States";False;Moderate;"Private room";2009;"944 ";"189 ";4;79;2019-06-22;1.1449;3;1;130;"- Minimum two night stay  - No smoking or drugs  - No parties and please be respectful of neighbors - Pets are welcome for an extra $50/night"
1085286;"Lg rm in historic prospect heights";28372000134;Unconfirmed;Wilson;Brooklyn;"Prospect Heights";40.67386;-73.96641;"United States";True;Moderate;"Private room";2009;"505 ";"101 ";15;9;2013-05-10;0.0634;2;1;43;"Please! No parties, no pets, no smoking, no illegal downloading from the Internet."
1085838;"Classic artist loft williamsburg";85684057000;Verified;Mike;Brooklyn;Williamsburg;40.71536;-73.96057;"United States";True;Strict;"Private room";2009;"113 ";"23 ";3;155;2019-06-13;2.2464;2;1;18;NULL
